Date,Dividends
2020-04-15,0.800000
2020-07-15,0.800000
2020-10-09,0.880000
2021-01-13,0.880000
2021-04-14,0.880000
2021-07-14,0.880000
2021-10-13,0.970000
2022-01-12,0.970000
2022-04-13,0.970000
2022-07-13,0.970000
2022-10-12,1.120000
2023-01-11,1.120000
2023-04-12,1.120000
2023-07-12,1.120000
2023-10-11,1.290000
2024-01-17,1.290000
2024-04-10,1.290000
2024-07-11,1.290000
2024-10-10,1.480000
