Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,148.289993,166.509995,143.509995,152.539993,142.282455,5324900
2020-03-17,154.000000,160.660004,152.479996,157.710007,147.104797,6081100
2020-03-18,151.570007,159.800003,142.000000,151.149994,140.985916,5860200
2020-03-19,151.360001,177.800003,151.360001,158.500000,147.841690,6338300
2020-03-20,157.529999,159.470001,147.419998,149.940002,139.857315,6449700
2020-03-23,148.009995,148.009995,137.149994,143.690002,134.027542,6173700
2020-03-24,152.259995,157.630005,149.490005,156.850006,146.302643,4685100
2020-03-25,156.440002,159.690002,148.110001,151.820007,141.610886,4795500
2020-03-26,153.399994,171.600006,150.000000,171.339996,159.818237,5194500
2020-03-27,165.000000,169.289993,160.610001,162.880005,151.927155,3802500
2020-03-30,164.119995,170.369995,163.779999,169.820007,158.400497,2731300
2020-03-31,167.429993,169.880005,162.160004,163.259995,152.281631,2963000
2020-04-01,158.570007,160.820007,152.580002,154.679993,144.278534,2973100
2020-04-02,154.050003,160.500000,153.550003,156.270004,145.761658,3030000
2020-04-03,155.600006,158.720001,148.279999,152.149994,141.918701,3766600
2020-04-06,158.979996,166.750000,157.039993,166.050003,154.883987,3090000
2020-04-07,171.080002,171.490005,163.929993,164.119995,153.083801,3002500
2020-04-08,166.580002,172.690002,165.070007,171.729996,160.182037,2466200
2020-04-09,173.229996,179.869995,172.509995,177.919998,165.955811,3743700
2020-04-13,176.179993,177.009995,169.559998,172.570007,160.965546,1918500
2020-04-14,177.000000,178.889999,176.020004,178.100006,166.123657,2875000
2020-04-15,174.300003,174.309998,168.889999,169.449997,158.768494,2504700
2020-04-16,171.259995,172.050003,167.520004,167.949997,157.363083,3051800
2020-04-17,172.520004,175.160004,172.050003,175.089996,164.052994,4759100
2020-04-20,172.589996,176.899994,171.759995,174.740005,163.725052,2511700
2020-04-21,170.820007,172.800003,165.710007,166.240005,155.760864,2711400
2020-04-22,170.039993,173.339996,169.210007,172.309998,161.448242,1921200
2020-04-23,173.360001,175.320007,172.139999,172.899994,162.001038,3027900
2020-04-24,176.399994,176.399994,172.570007,175.460007,164.399689,2121100
2020-04-27,176.229996,180.539993,176.199997,179.429993,168.119415,2457800
2020-04-28,182.080002,183.259995,176.910004,178.360001,167.116882,2160100
2020-04-29,182.309998,188.169998,181.699997,187.559998,175.736923,2957600
2020-04-30,185.529999,186.479996,184.190002,185.190002,173.516342,2740800
2020-05-01,181.710007,182.990005,179.259995,180.089996,168.737823,2064200
2020-05-04,177.979996,180.639999,176.880005,179.529999,168.213120,1710500
2020-05-05,182.080002,183.889999,181.000000,181.619995,170.171341,1621900
2020-05-06,182.100006,182.500000,179.050003,180.380005,169.009552,1474900
2020-05-07,182.990005,187.429993,182.500000,187.110001,175.315292,2295400
2020-05-08,188.990005,189.850006,187.679993,188.559998,176.673904,1778600
2020-05-11,186.490005,189.529999,185.289993,187.750000,175.914978,2013800
2020-05-12,187.839996,189.990005,185.690002,185.720001,174.012924,1912300
2020-05-13,185.039993,185.139999,178.750000,181.000000,169.590454,2349300
2020-05-14,178.699997,180.009995,174.940002,179.990005,168.644135,2773300
2020-05-15,178.369995,183.960007,177.830002,183.880005,172.288940,3630000
2020-05-18,189.000000,194.139999,188.110001,192.750000,180.599808,2254700
2020-05-19,192.500000,194.509995,189.919998,190.089996,178.107498,1784100
2020-05-20,192.500000,195.669998,192.229996,195.179993,182.876602,2294800
2020-05-21,194.699997,195.520004,192.699997,193.500000,181.302490,1373000
2020-05-22,194.080002,194.889999,191.130005,193.710007,181.499283,1317500
2020-05-26,199.419998,199.990005,196.029999,196.399994,184.019714,2408700
2020-05-27,198.380005,199.949997,196.210007,199.929993,187.327148,2000500
2020-05-28,200.009995,204.179993,200.009995,201.669998,188.957504,2280600
2020-05-29,201.490005,202.410004,198.690002,201.619995,188.910629,2535400
2020-06-01,201.539993,203.750000,199.869995,203.380005,190.559692,1530800
2020-06-02,204.089996,205.789993,202.339996,205.779999,192.808411,1939200
2020-06-03,204.419998,207.830002,204.309998,207.279999,194.213837,1605400
2020-06-04,206.089996,207.789993,202.330002,203.100006,190.297363,2451400
2020-06-05,205.990005,209.720001,204.789993,208.490005,195.347610,2537900
2020-06-08,207.509995,211.320007,207.000000,211.279999,197.961716,1626900
2020-06-09,209.389999,209.789993,205.500000,207.339996,194.270065,2269600
2020-06-10,207.259995,210.830002,205.899994,209.429993,196.228333,2077200
2020-06-11,205.520004,205.949997,195.880005,195.949997,183.598007,4046600
2020-06-12,201.100006,202.429993,197.309998,201.589996,188.882553,2590100
2020-06-15,196.490005,200.740005,194.830002,199.789993,187.196014,2310800
2020-06-16,203.360001,206.880005,202.119995,204.399994,191.515396,2154000
2020-06-17,206.029999,206.330002,203.649994,205.199997,192.265015,1594800
2020-06-18,201.729996,203.169998,199.289993,202.929993,190.138077,2228000
2020-06-19,207.539993,208.289993,201.520004,201.550003,188.845047,3710000
2020-06-22,200.800003,204.080002,199.470001,202.600006,189.828873,2454500
2020-06-23,205.369995,209.679993,205.369995,207.399994,194.326309,2203800
2020-06-24,205.509995,207.399994,200.500000,201.839996,189.116776,2753700
2020-06-25,213.000000,217.889999,211.500000,217.320007,203.621002,4690200
2020-06-26,216.779999,216.929993,211.070007,212.470001,199.076721,3348400
2020-06-29,210.149994,213.389999,210.149994,212.720001,199.310989,2247900
2020-06-30,212.369995,215.639999,212.130005,214.720001,201.184891,3136400
2020-07-01,214.500000,216.899994,213.880005,214.589996,201.063065,2124700
2020-07-02,216.570007,218.449997,214.899994,215.720001,202.121841,2006200
2020-07-06,217.759995,219.660004,216.309998,217.550003,203.836487,1934500
2020-07-07,216.320007,219.869995,216.119995,216.330002,202.693405,1783700
2020-07-08,217.470001,219.149994,216.339996,218.889999,205.092041,1750700
2020-07-09,218.470001,220.610001,216.229996,219.309998,205.485550,1756700
2020-07-10,219.000000,220.860001,217.669998,220.259995,206.375626,1373600
2020-07-13,221.330002,221.869995,215.229996,215.740005,202.140579,2090000
2020-07-14,214.800003,219.369995,213.509995,219.160004,205.344986,1747800
2020-07-15,220.000000,222.750000,218.460007,219.759995,206.661545,2193700
2020-07-16,219.779999,220.630005,218.600006,219.110001,206.050293,1408400
2020-07-17,219.690002,222.639999,218.300003,221.940002,208.711639,2069700
2020-07-20,222.000000,224.110001,220.110001,223.429993,210.112778,1371800
2020-07-21,224.899994,225.740005,222.440002,222.750000,209.473328,1546200
2020-07-22,222.750000,224.740005,222.440002,224.229996,210.865143,1488000
2020-07-23,224.080002,225.509995,221.369995,222.300003,209.050156,1444900
2020-07-24,220.210007,223.169998,220.210007,221.440002,208.241409,1542300
2020-07-27,221.500000,224.520004,220.830002,223.320007,210.009369,1523200
2020-07-28,223.039993,224.759995,221.899994,222.179993,208.937271,1422300
2020-07-29,221.979996,225.399994,221.929993,224.380005,211.006210,1473700
2020-07-30,220.809998,223.990005,219.779999,223.979996,210.630051,1408600
2020-07-31,223.889999,224.949997,220.899994,224.779999,211.382355,1495500
2020-08-03,225.000000,228.000000,224.460007,227.179993,213.639267,1631700
2020-08-04,226.289993,227.779999,225.550003,227.149994,213.611084,1260500
2020-08-05,227.940002,229.399994,227.460007,228.699997,215.068680,1155400
2020-08-06,227.679993,230.970001,227.679993,230.889999,217.128159,1317900
2020-08-07,229.250000,231.869995,228.720001,231.559998,217.758224,1275400
2020-08-10,229.690002,231.259995,229.520004,230.339996,216.610947,1315700
2020-08-11,230.580002,232.509995,228.160004,228.570007,214.946457,1757200
2020-08-12,230.300003,231.320007,229.250000,229.750000,216.056091,1512900
2020-08-13,229.589996,232.380005,228.929993,231.729996,217.918106,1745700
2020-08-14,230.570007,231.929993,229.410004,230.250000,216.526291,1130500
2020-08-17,231.449997,233.770004,230.979996,232.619995,218.755066,1395400
2020-08-18,233.350006,234.929993,232.580002,234.229996,220.269073,1475800
2020-08-19,233.800003,236.500000,233.800003,234.630005,220.645279,1671500
2020-08-20,233.940002,236.949997,233.580002,236.610001,222.507248,1279300
2020-08-21,236.860001,238.300003,235.000000,237.490005,223.334793,1976100
2020-08-24,238.059998,239.360001,235.850006,237.750000,223.579285,1293200
2020-08-25,237.929993,238.729996,236.710007,238.210007,224.011871,1501700
2020-08-26,238.669998,241.250000,238.110001,240.449997,226.118347,2322100
2020-08-27,242.369995,242.770004,240.000000,240.869995,226.513306,1295300
2020-08-28,241.970001,243.220001,240.259995,242.990005,228.506973,1212200
2020-08-31,243.300003,243.539993,239.100006,239.929993,225.629318,2001100
2020-09-01,238.490005,240.020004,237.199997,240.020004,225.713974,1914500
2020-09-02,241.899994,247.820007,240.839996,247.179993,232.447235,1702800
2020-09-03,245.100006,246.139999,237.130005,238.979996,224.735992,2350500
2020-09-04,240.169998,240.869995,231.910004,236.070007,221.999420,1946400
2020-09-08,231.050003,236.000000,230.619995,232.649994,218.783249,2361200
2020-09-09,236.800003,241.360001,234.809998,238.910004,224.670151,1670200
2020-09-10,241.000000,243.990005,232.110001,233.649994,219.723648,2024100
2020-09-11,236.429993,237.759995,233.250000,234.770004,220.776901,1301000
2020-09-14,237.600006,240.990005,236.809998,238.830002,224.594910,1576400
2020-09-15,240.369995,242.800003,239.000000,240.199997,225.883270,1297500
2020-09-16,241.460007,244.899994,239.169998,239.419998,225.149734,1800400
2020-09-17,237.399994,239.089996,233.880005,236.820007,222.704742,2002500
2020-09-18,234.619995,238.399994,233.429993,236.179993,222.102844,3676400
2020-09-21,232.839996,233.979996,230.029999,233.910004,219.968124,2305900
2020-09-22,234.139999,237.070007,231.789993,236.919998,222.798782,1786200
2020-09-23,238.529999,239.350006,230.369995,230.649994,216.902466,2688100
2020-09-24,218.869995,220.449997,213.149994,214.419998,201.639832,4828600
2020-09-25,213.029999,215.070007,210.419998,214.630005,201.837326,3691100
2020-09-28,219.089996,223.889999,218.300003,222.779999,209.501556,2587600
2020-09-29,223.369995,225.169998,222.309998,224.080002,210.724045,2572000
2020-09-30,225.270004,228.300003,224.619995,225.990005,212.520218,2250100
2020-10-01,227.360001,229.240005,224.029999,225.179993,211.758514,1928800
2020-10-02,222.050003,224.919998,221.350006,222.399994,209.144211,1936100
2020-10-05,224.369995,224.940002,222.039993,223.490005,210.169250,1446000
2020-10-06,223.589996,225.270004,220.089996,220.350006,207.216400,2286300
2020-10-07,221.899994,224.630005,220.050003,223.449997,210.131592,2005800
2020-10-08,226.039993,226.789993,223.970001,225.610001,212.162872,1394200
2020-10-09,225.860001,229.089996,225.800003,228.690002,215.901428,1312500
2020-10-12,229.690002,231.770004,227.580002,230.589996,217.695175,1524300
2020-10-13,230.720001,231.899994,228.809998,229.380005,216.552856,1634000
2020-10-14,228.880005,231.899994,228.320007,229.429993,216.600021,1443800
2020-10-15,225.589996,230.679993,225.259995,228.770004,215.976944,1273300
2020-10-16,229.029999,231.940002,228.679993,230.050003,217.185364,1796400
2020-10-19,230.229996,233.250000,225.720001,226.240005,213.588440,1904500
2020-10-20,226.699997,232.289993,226.449997,230.389999,217.506317,1783800
2020-10-21,229.899994,234.380005,229.059998,233.100006,220.064819,1701800
2020-10-22,233.100006,234.710007,227.850006,228.139999,215.382233,1661300
2020-10-23,227.699997,229.800003,226.929993,229.699997,216.854935,1187600
2020-10-26,225.360001,227.990005,218.350006,219.229996,206.970444,2162100
2020-10-27,220.630005,223.000000,220.210007,220.660004,208.320480,1567800
2020-10-28,216.809998,217.929993,212.919998,213.940002,201.976273,2412300
2020-10-29,215.509995,218.529999,212.449997,216.440002,204.336426,1499000
2020-10-30,215.279999,217.809998,213.639999,216.910004,204.780182,1972700
2020-11-02,219.169998,223.160004,218.320007,220.190002,207.876770,2087200
2020-11-03,222.000000,227.770004,221.429993,225.710007,213.088058,1544000
2020-11-04,225.000000,230.899994,224.399994,227.919998,215.174484,1725000
2020-11-05,233.369995,236.119995,232.419998,233.990005,220.905014,1954800
2020-11-06,235.009995,237.000000,231.070007,236.289993,223.076431,1417600
2020-11-09,239.889999,248.000000,239.669998,240.220001,226.786652,3052100
2020-11-10,238.610001,239.610001,235.580002,238.710007,225.361115,2818000
2020-11-11,240.960007,244.080002,240.130005,242.750000,229.175140,1757200
2020-11-12,242.000000,243.089996,236.889999,238.149994,224.832428,1672200
2020-11-13,239.990005,242.419998,238.089996,241.779999,228.259445,1456200
2020-11-16,243.880005,246.690002,242.639999,244.949997,231.252151,1631400
2020-11-17,243.369995,245.490005,241.279999,243.820007,230.185364,1318100
2020-11-18,243.360001,243.820007,239.550003,239.729996,226.324036,1613200
2020-11-19,241.509995,243.470001,238.690002,243.199997,229.600021,1611700
2020-11-20,243.949997,246.000000,242.259995,243.440002,229.826584,1771900
2020-11-23,244.710007,246.669998,242.570007,246.199997,232.432220,1288600
2020-11-24,247.410004,250.089996,245.899994,250.000000,236.019760,1899300
2020-11-25,250.000000,250.410004,248.320007,249.330002,235.387222,1434000
2020-11-27,250.080002,250.910004,248.509995,250.119995,236.133057,888100
2020-11-30,249.059998,250.440002,246.289993,249.089996,235.160645,2441400
2020-12-01,251.509995,253.929993,250.220001,252.270004,238.162827,2078600
2020-12-02,250.710007,251.820007,248.130005,249.660004,235.698792,1671100
2020-12-03,250.000000,251.710007,248.860001,249.929993,235.953629,1552300
2020-12-04,250.220001,253.460007,250.050003,253.440002,239.267395,1852700
2020-12-07,249.850006,251.000000,248.360001,249.300003,235.358902,1973400
2020-12-08,249.000000,250.559998,247.199997,249.860001,235.887573,1825600
2020-12-09,250.119995,250.520004,245.559998,246.770004,232.970383,2201500
2020-12-10,245.869995,247.820007,244.619995,246.160004,232.394470,1874000
2020-12-11,245.889999,246.919998,244.550003,245.830002,232.082947,1838900
2020-12-14,247.100006,249.389999,243.550003,243.750000,230.119247,2412500
2020-12-15,248.910004,248.910004,245.059998,247.050003,233.234711,2415800
2020-12-16,247.020004,248.289993,246.220001,247.449997,233.612335,2248000
2020-12-17,263.779999,271.179993,263.299988,264.470001,249.680573,4855600
2020-12-18,263.890015,266.959991,258.619995,266.250000,251.361008,5948000
